time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1757701349.56370115,0.00844381,12412,0.00026436,0.00000000,0,0.00000000,6786,6776,56,0.00087513
1757701349.66387749,0.00790817,12316,0.00027079,0.00000000,0,0.00000000,6776,6805,66,0.00047928
1757701349.76459384,0.00846206,12346,0.00021939,0.00000000,0,0.00000000,6805,6833,69,0.00067611
1757701349.86382794,0.01078489,12444,0.00020957,0.00000000,0,0.00000000,6833,6867,59,0.00055323
1757701349.96382737,0.00782939,12295,0.00017674,0.00000000,0,0.00000000,6867,6874,50,0.00060944
1757701350.06386352,0.00868273,12291,0.00019078,0.00000000,0,0.00000000,6874,6902,66,0.00062203
1757701350.16376400,0.00964169,12424,0.00021709,0.00000000,0,0.00000000,6902,6910,53,0.00046734
1757701350.26388788,0.00813842,12240,0.00019241,0.00000000,0,0.00000000,6910,6923,51,0.00082690
1757701350.36454082,0.00798909,12092,0.00019233,0.00000000,0,0.00000000,6923,6946,62,0.00044976
1757701350.46372008,0.00778064,12532,0.00022108,0.00000000,0,0.00000000,6946,6918,49,0.00055320
1757701350.56387758,0.00714641,12285,0.00017353,0.00000000,0,0.00000000,6918,6918,48,0.00060377
1757701350.66453791,0.00933336,12157,0.00034823,0.00000000,0,0.00000000,6918,6952,53,0.00039759
1757701350.76392055,0.00906168,12296,0.00033796,0.00000000,0,0.00000000,6952,6540,45,0.00051319
1757701350.86408734,0.00809557,12329,0.00019805,0.00000000,0,0.00000000,6540,6561,44,0.00058633
1757701350.96468806,0.00684621,12283,0.00024483,0.00000000,0,0.00000000,6561,6547,40,0.00069354
1757701351.06394506,0.00710334,12111,0.00010401,0.00000000,0,0.00000000,6547,6578,44,0.00061361
1757701351.16465521,0.00726211,12370,0.00015928,0.00000000,0,0.00000000,6578,6587,39,0.00055521
1757701351.26451254,0.00909641,12149,0.00020422,0.00000000,0,0.00000000,6587,6622,48,0.00048941
1757701351.36453295,0.00951113,12200,0.00016773,0.00000000,0,0.00000000,6622,6651,46,0.00038975
1757701351.46382308,0.00751879,12395,0.00058731,0.00000000,0,0.00000000,6651,6491,46,0.00050768
1757701351.56375194,0.00820642,12319,0.00011432,0.00000000,0,0.00000000,6491,6532,48,0.00082597
1757701351.66394281,0.01099282,12061,0.00021956,0.00000000,0,0.00000000,6532,6553,47,0.00067146
1757701351.76461768,0.00903334,12313,0.00019333,0.00000000,0,0.00000000,6553,6580,43,0.00039751
1757701351.86464810,0.00847779,12457,0.00016294,0.00000000,0,0.00000000,6580,6599,37,0.00048794
